Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,haben
aasen,aase,aast,aast,aaste,geaast,aaste,aase,aast,haben
abaasen,aase ab,aast ab,aast ab,aaste ab,abgeaast,aaste ab,aase ab,aast ab,haben
abacheln,achele ab,achelst ab,achelt ab,achelte ab,abgeachelt,achelte ab,achele ab,achelt ab,haben
abachen,ache ab,achst ab,acht ab,achte ab,abgeacht,achte ab,ach ab,acht ab,haben
abächzen,ächze ab,ächzt ab,ächzt ab,ächzte ab,abgeächzt,ächzte ab,ächz ab,ächzt ab,haben
abackern,ackere ab,ackerst ab,ackert ab,ackerte ab,abgeackert,ackerte ab,ackere ab,ackert ab,haben
abaissieren,abaissiere,abaissierst,abaissiert,abaissierte,abaissiert,abaissierte,abaissiere,abaissiert,haben
abälardisieren,abälardisiere,abälardisierst,abälardisiert,abälardisierte,abälardisiert,abälardisierte,abälardisier,abälardisiert,haben
abalienieren,abalieniere,abalienierst,abalieniert,abalienierte,abalieniert,abalienierte,abalieniere,abalieniert,haben
abändern,ändre ab,änderst ab,ändert ab,änderte ab,abgeändert,änderte ab,ändre ab,ändert ab,haben
abandonnieren,abandonniere,abandonnierst,abandonniert,abandonnierte,abandonniert,abandonnierte,abandonniere,abandonniert,haben
abängstigen,ängstige ab,ängstigst ab,ängstigt ab,ängstigte ab,abgeängstigt,ängstigte ab,ängstige ab,ängstigt ab,haben
abarbeiten,arbeite ab,arbeitest ab,arbeitet ab,arbeitete ab,abgearbeitet,arbeitete ab,arbeite ab,arbeitet ab,haben
abärgern,ärgere ab,ärgerst ab,ärgert ab,ärgerte ab,abgeärgert,ärgerte ab,ärgere ab,ärgert ab,haben
abarten,arte ab,artest ab,artet ab,artete ab,abgeartet,artete ab,arte ab,artet ab,sein
abäsen,—,—,äst ab,äste ab,abgeäst,äste ab,—,—,haben
abasten,aste ab,astest ab,astet ab,astete ab,abgeastet,astete ab,aste ab,astet ab,haben
abästen,äste ab,ästest ab,ästet ab,ästete ab,abgeästet,ästete ab,äst ab,ästet ab,haben
abatmen,atme ab,atmest ab,atmet ab,atmete ab,abgeatmet,atmete ab,atme ab,atmet ab,haben
abätzen,ätze ab,ätzt ab,ätzt ab,ätzte ab,abgeätzt,ätzte ab,ätz ab,ätzt ab,haben
abbacken,backe ab,backst ab,backt ab,buk ab,abgebacken,büke ab,back ab,backt ab,haben
abbaden,bade ab,badest ab,badet ab,badete ab,abgebadet,badete ab,bade ab,badet ab,haben
abbaggern,baggere ab,baggerst ab,baggert ab,baggerte ab,abgebaggert,baggerte ab,bagger ab,baggert ab,haben
abbaken,bake ab,bakst ab,bakt ab,bakte ab,abgebakt,bakte ab,bake ab,bakt ab,haben
abbalgen,balge ab,balgst ab,balgt ab,balgte ab,abgebalgt,balgte ab,balg ab,balgt ab,haben
abballern,ballere ab,ballerst ab,ballert ab,ballerte ab,abgeballert,ballerte ab,ballere ab,ballert ab,haben
abbalzen,balze ab,balzt ab,balzt ab,balzte ab,abgebalzt,balzte ab,balz ab,balzt ab,haben
abbangen,bange ab,bangst ab,bangt ab,bangte ab,abgebangt,bangte ab,bang ab,bangt ab,haben
abbasten,baste ab,bastest ab,bastet ab,bastete ab,abgebastet,bastete ab,baste ab,bastet ab,haben
abbauen,baue ab,baust ab,baut ab,baute ab,abgebaut,baute ab,baue ab,bauet ab,haben
abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,haben
abbedingen,bedinge ab,bedingst ab,bedingt ab,bedang ab,abbedingt,bedänge ab,beding ab,bedingt ab,haben
abbeereln,beerel ab,beerelst ab,beerelt ab,beerelte ab,abgebeerelt,beerelte ab,beerel ab,beerelt ab,haben
abbeeren,beere ab,beerst ab,beert ab,beerte ab,abgebeert,beerte ab,beer ab,beert ab,haben
abbefehlen,befehle ab,befiehlst ab,befiehlt ab,befahl ab,abbefohlen,beföhle ab,befiehl ab,befiehlt ab,haben
abbegehren,begehre ab,begehrst ab,begehrt ab,begehrte ab,abbegehrt,begehrte ab,begehr ab,begehrt ab,haben
abbehalten,behalte ab,behältst ab,behält ab,behielt ab,abbehalten,behielte ab,behalte ab,behaltet ab,haben
abbeißen,beiße ab,beißt ab,beißt ab,biss ab,abgebissen,bisse ab,beiß ab,beißt ab,haben
abbeizen,beize ab,beizt ab,beizt ab,beizte ab,abgebeizt,beizte ab,beiz ab,beizt ab,haben
abbekommen,bekomme ab,bekommst ab,bekommt ab,bekam ab,abbekommen,bekäme ab,bekomm ab,bekommt ab,haben
abberufen,berufe ab,berufst ab,beruft ab,berief ab,abberufen,beriefe ab,beruf ab,beruft ab,haben
abbestellen,bestelle ab,bestellst ab,bestellt ab,bestellte ab,abbestellt,bestellte ab,bestell ab,bestellt ab,haben
abbeten,bete ab,betest ab,betet ab,betete ab,abgebetet,betete ab,bet ab,betet ab,haben
abbetteln,bettele ab,bettelst ab,bettelt ab,bettelte ab,abgebettelt,bettelte ab,bettele ab,bettelt ab,haben
abbeuteln,beutele ab,beutelst ab,beutelt ab,beutelte ab,abgebeutelt,beutelte ab,beutele ab,beutelt ab,haben
abbezahlen,bezahle ab,bezahlst ab,bezahlt ab,bezahlte ab,abbezahlt,bezahlte ab,bezahl ab,bezahlt ab,haben
abbiegen,biege ab,biegst ab,biegt ab,bog ab,abgebogen,böge ab,bieg ab,biegt ab,haben
abbilden,bilde ab,bildest ab,bildet ab,bildete ab,abgebildet,bildete ab,bild ab,bildet ab,haben
abbimsen,bimse ab,bimst ab,bimst ab,bimste ab,abgebimst,bimste ab,bims ab,bimst ab,haben
abbinden,binde ab,bindest ab,bindet ab,band ab,abgebunden,bände ab,bind ab,bindet ab,haben
abbitten,bitte ab,bittest ab,bittet ab,bat ab,abgebeten,bäte ab,bitte ab,bittet ab,haben
abblasen,blase ab,bläst ab,bläst ab,blies ab,abgeblasen,bliese ab,blas ab,blast ab,haben
abblassen,blasse ab,blasst ab,blasst ab,blasste ab,abgeblasst,blasste ab,blass ab,blasst ab,sein
abblättern,blättre ab,blätterst ab,blättert ab,blätterte ab,abgeblättert,blätterte ab,blättre ab,blättert ab,sein
abbleiben,bleibe ab,bleibst ab,bleibt ab,blieb ab,abgeblieben,bliebe ab,bleibe ab,bleibt ab,sein
abbleichen,bleiche ab,bleichst ab,bleicht ab,bleichte ab,abgebleicht,bleichte ab,bleiche ab,bleicht ab,sein
abblenden,blende ab,blendest ab,blendet ab,blendete ab,abgeblendet,blendete ab,blende ab,blendet ab,haben
abblitzen,blitze ab,blitzt ab,blitzt ab,blitzte ab,abgeblitzt,blitzte ab,blitze ab,blitzt ab,sein
abblocken,blocke ab,blockst ab,blockt ab,blockte ab,abgeblockt,blockte ab,block ab,blockt ab,haben
abblühen,blühe ab,blühst ab,blüht ab,blühte ab,abgeblüht,blühte ab,blühe ab,blüht ab,haben
abböschen,bösche ab,böschst ab,böscht ab,böschte ab,abgeböscht,böschte ab,bösche ab,böscht ab,haben
abbraten,brate ab,brätst ab,brät ab,briet ab,abgebraten,briete ab,brat ab,bratet ab,haben
abbrauchen,brauche ab,brauchst ab,braucht ab,brauchte ab,abgebraucht,brauchte ab,brauch ab,braucht ab,haben
abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,haben
abbremsen,bremse ab,bremst ab,bremst ab,bremste ab,abgebremst,bremste ab,brems ab,bremst ab,haben
abbrennen,brenne ab,brennst ab,brennt ab,brannte ab,abgebrannt,brennte ab,brenn ab,brennt ab,haben
abbreviieren,abbreviiere,abbreviierst,abbreviiert,abbreviierte,abbreviiert,abbreviierte,abbreviier,abbreviiert,haben
abbringen,bringe ab,bringst ab,bringt ab,brachte ab,abgebracht,brächte ab,bring ab,bringt ab,haben
abbröckeln,bröckele ab,bröckelst ab,bröckelt ab,bröckelte ab,abgebröckelt,bröckelte ab,bröckele ab,bröckelt ab,haben
abbrocken,brocke ab,brockst ab,brockt ab,brockte ab,abgebrockt,brockte ab,brocke ab,brockt ab,haben
abbröseln,brösele ab,bröselst ab,bröselt ab,bröselte ab,abgebröselt,bröselte ab,brösele ab,bröselt ab,haben
abbrühen,brühe ab,brühst ab,brüht ab,brühte ab,abgebrüht,brühte ab,brüh ab,brüht ab,haben
abbuchen,buche ab,buchst ab,bucht ab,buchte ab,abgebucht,buchte ab,buch ab,bucht ab,haben
abbuffen,buffe ab,buffst ab,bufft ab,buffte ab,abgebufft,buffte ab,buff ab,bufft ab,haben
abbummeln,bummle ab,bummelst ab,bummelt ab,bummelte ab,abgebummelt,bummelte ab,bummele ab,bummelt ab,haben
abbürsten,bürste ab,bürstest ab,bürstet ab,bürstete ab,abgebürstet,bürstete ab,bürst ab,bürstet ab,haben
abbusseln,bussle ab,busselst ab,busselt ab,busselte ab,abgebusselt,busselte ab,bussel ab,busselt ab,haben
abbüßen,büße ab,büßt ab,büßt ab,büßte ab,abgebüßt,büßte ab,büße ab,büßt ab,haben
abcashen,cashe ab,cashst ab,casht ab,cashte ab,abgecasht,cashte ab,cash ab,casht ab,haben
abchangieren,changiere ab,changierst ab,changiert ab,changierte ab,abchangiert,changierte ab,changier ab,changiert ab,haben
abchecken,checke ab,checkst ab,checkt ab,checkte ab,abgecheckt,checkte ab,check ab,checkt ab,haben
abchoppen,choppe ab,choppst ab,choppt ab,choppte ab,abgechoppt,choppte ab,chopp ab,choppt ab,haben
abdämmen,dämme ab,dämmst ab,dämmt ab,dämmte ab,abgedämmt,dämmte ab,dämm ab,dämmt ab,haben
abdampfen,dampfe ab,dampfst ab,dampft ab,dampfte ab,abgedampft,dampfte ab,dampf ab,dampft ab,haben
abdanken,danke ab,dankst ab,dankt ab,dankte ab,abgedankt,dankte ab,danke ab,dankt ab,haben
abdecken,decke ab,deckst ab,deckt ab,deckte ab,abgedeckt,deckte ab,deck ab,deckt ab,haben
abdichten,dichte ab,dichtest ab,dichtet ab,dichtete ab,abgedichtet,dichtete ab,dichte ab,dichtet ab,haben
abdienen,diene ab,dienst ab,dient ab,diente ab,abgedient,diente ab,dien ab,dient ab,haben
abdingen,dinge ab,dingst ab,dingt ab,dingte ab,abgedingt,dingte ab,dinge ab,dingt ab,haben
abdizieren,abdiziere,abdizierst,abdiziert,abdizierte,abdiziert,abdizierte,abdiziere,abdiziert,haben
abdrängen,dränge ab,drängst ab,drängt ab,drängte ab,abgedrängt,drängte ab,dränge ab,drängt ab,haben
abdrehen,drehe ab,drehst ab,dreht ab,drehte ab,abgedreht,drehte ab,dreh ab,dreht ab,haben
abdreschen,dresche ab,drischst ab,drischt ab,drasch ab,abgedroschen,dräsche ab,drisch ab,drescht ab,haben
abdriften,drifte ab,driftest ab,driftet ab,driftete ab,abgedriftet,driftete ab,drift ab,driftet ab,sein
abdrucken,drucke ab,druckst ab,druckt ab,druckte ab,abgedruckt,druckte ab,druck ab,druckt ab,haben
abdrücken,drücke ab,drückst ab,drückt ab,drückte ab,abgedrückt,drückte ab,drück ab,drückt ab,haben
abdunkeln,dunkle ab,dunkelst ab,dunkelt ab,dunkelte ab,abgedunkelt,dunkelte ab,dunkle ab,dunkelt ab,haben
abdüsen,düse ab,düst ab,düst ab,düste ab,abgedüst,düste ab,düse ab,düst ab,sein
abduzieren,abduziere,abduzierst,abduziert,abduzierte,abduziert,abduzierte,abduzier,abduziert,haben
abebben,—,—,ebbt ab,ebbte ab,abgeebbt,ebbte ab,—,—,sein
abecedieren,abecediere,abecedierst,abecediert,abecedierte,abecediert,abecedierte,abecediere,abecediert,haben
abeisen,eise ab,eist ab,eist ab,eiste ab,abgeeist,eiste ab,eis ab,eist ab,haben
abendessen,—,—,—,—,abendgegessen,—,—,—,haben
aberkennen,erkenne ab,erkennst ab,erkennt ab,erkannte ab,aberkannt,erkennte ab,erkenne ab,erkennt ab,haben
abern,abere,aberst,abert,aberte,geabert,aberte,abere,abert,haben
abernten,ernte ab,erntest ab,erntet ab,erntete ab,abgeerntet,erntete ab,ernt ab,erntet ab,haben
aberrieren,aberriere,aberrierst,aberriert,aberrierte,aberriert,aberrierte,aberrier,aberriert,haben
aberziehen,erziehe ab,erziehst ab,erzieht ab,erzog ab,aberzogen,erzöge ab,erzieh ab,erzieht ab,haben
abfackeln,fackele ab,fackelst ab,fackelt ab,fackelte ab,abgefackelt,fackelte ab,fackele ab,fackelt ab,haben
abfahren,fahre ab,fährst ab,fährt ab,fuhr ab,abgefahren,führe ab,fahre ab,fahrt ab,sein
abfallen,falle ab,fällst ab,fällt ab,fiel ab,abgefallen,fiele ab,fall ab,fallt ab,sein
abfälschen,fälsche ab,fälschst ab,fälscht ab,fälschte ab,abgefälscht,fälschte ab,fälsche ab,fälscht ab,haben
abfangen,fange ab,fängst ab,fängt ab,fing ab,abgefangen,finge ab,fange ab,fangt ab,haben
